name,price,url,table_vals,description
Ardmore Traditional Peated 1L w/Gift Box,109.5,https://www.paneco.com.sg/products/ardmore-traditional-peated-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Ardmore"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
Smoothly peated, yet perfectly balanced - The Ardmore Traditional Peated harks back to the craft and heritage of Highland malts. Matured in ex-bourbon and quarter casks (120L), it evokes full rich flavours of sweet ripe fruit and smooth vanilla, with a familiar hint of light peat smoke.
                "
Arran Machrie Moor Peated Cask Strength Single Malt 700ml w/Gift Box,129.5,https://www.paneco.com.sg/products/arran-machrie-moor-cask-strength-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""56.2"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Arran"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
The cask strength release of the Machrie Moor has now joined the range of core releases from the Arran distillery for good. The smokiness comes through at first but is quickly chased by light fruity notes, making for a complicated but easy drinking experience.
                "
Arran Quarter Cask Single Malt 700ml w/Gift Box,134.5,https://www.paneco.com.sg/products/arran-quarter-cask-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""56.2"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Arran"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
The Arran Single Malt selected for this cask strength expression was initially matured in first-fill ex-Bourbon barrels for 7 years before being transferred for secondary maturation into smaller Quarter casks also made of the finest American oak for a further 2 years. The end result is a full-bodied expression of Arran Single Malt combining power and finesse full of rich vanilla sweetness and bold peppery spice. 
                "
Arran Sauternes Cask Finish Single Malt 700ml w/Gift Box,134.5,https://www.paneco.com.sg/products/arran-sauternes-cask-finish-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""50.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Arran"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
Arran Single Malt is matured in oak casks for eight years and is then 'finished' in a selection of Sauternes wine casks. These Bordeaux sweet white wine casks are specifically selected by the Master Distiller from a talented small producer to ensure the notes from both wine and whisky make the perfect marriage.
                "
Auchentoshan 18 Year Single Malt 700ml w/Gift Box,154.95,https://www.paneco.com.sg/products/auchentoshan-18-year-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""43.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  Triple distilled and matured in American bourbon oak for over eighteen years. The result: a refreshing Lowland single malt whisky with the added infusion of ripe citrus and green tea, the warmth of toasted almonds and the signature smooth, delicate, Auchentoshan taste.
                "
Auchentoshan 1988 PX Cask 700ml w/Gift Box,919.95,https://www.paneco.com.sg/products/auchentoshan-1988-px-cask-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""49.7"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  The Auchentoshan 1988 PX Cask is aged initially for eight years in American ex-bourbon casks, before being finished for 17 years in first-fill Bordeaux barriques. Expect spicy and full of red-fruit flavours.
                "
Auchentoshan 21 Year Single Malt 700ml w/Gift Box,258.9,https://www.paneco.com.sg/products/auchentoshan-21-year-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""43.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  Triple distilled and aged perfectly for over twenty one years in American bourbon and Spanish sherry casks. This creates a refined Lowland Single Malt Whisky, ripe with gooseberries and sweet creamy vanilla.
                "
Auchentoshan American Oak Single Malt 1L w/ Gift Box,119.95,https://www.paneco.com.sg/products/auchentoshan-american-oak-single-malt-1l-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""1000ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
Auchentoshan American Oak Scott Whisky is triple distilled and matured solely in American bourbon casks. The result: a Lowland Single Malt Whisky with the sweet aromas of vanilla and coconut - along with the signature smooth, delicate, Auchentoshan taste. Like all Auchentoshan, American Oak is a really versatile Single Malt. It works wonders as an Auchentoshan & Ale, is happy to stand on its own neat or over ice but also shakes up some classic cocktails that you might not think work with Single Malt whisky. Bright gold in color, bourbon vanilla and coconut notes with layers of zesty citrus fruit. Refreshingly smooth yet lively with vanilla cream, coconut and white peach. Crisp with sugared grapefruit and a hint of spice on the finish.

                "
Auchentoshan American Oak Single Malt 700ml w/ Gift Box,82.5,https://www.paneco.com.sg/products/auchentoshan-american-oak-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""40.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
Auchentoshan American Oak Scott Whisky is triple distilled and matured solely in American bourbon casks. The result: a Lowland Single Malt Whisky with the sweet aromas of vanilla and coconut - along with the signature smooth, delicate, Auchentoshan taste. Like all Auchentoshan, American Oak is a really versatile Single Malt. It works wonders as an Auchentoshan & Ale, is happy to stand on its own neat or over ice but also shakes up some classic cocktails that you might not think work with Single Malt whisky. Bright gold in color, bourbon vanilla and coconut notes with layers of zesty citrus fruit.
                "
Auchentoshan Bartenders Single Malt 700ml w/Gift Box,151,https://www.paneco.com.sg/products/auchentoshan-bartenders-single-malt-700ml-w-gift-box,"{""Alcohol percentage"": ""47.0"", ""Bottle volume ml"": ""700ml"", ""Brand"": ""Auchentoshan"", ""Gift box"": ""Yes"", ""Country of origin"": ""Scotland""}","
                  The Bartender׳s Malt is a bespoke collaboration of whiskies selected by 12 of the most innovative bartenders in the world. The malt ranges from 5 different decades, matured in a diverse range of oaks including American and European, as well as a variety of sherry casks, red wine barriques and German Oak.
                "
